ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_6.started,text_6.stopped,buttonBox.keys,buttonBox.rt,buttonBox.started,buttonBox.stopped,text_7.started,text_7.stopped,buttonBox_3.keys,buttonBox_3.rt,buttonBox_3.started,buttonBox_3.stopped,text_8.started,text_8.stopped,buttonBox_4.keys,buttonBox_4.rt,buttonBox_4.started,buttonBox_4.stopped,text_9.started,text_9.stopped,buttonBox_5.keys,buttonBox_5.rt,buttonBox_5.started,buttonBox_5.stopped,text_2.started,text_2.stopped,buttonBox_6.keys,buttonBox_6.rt,buttonBox_6.started,buttonBox_6.stopped,text_5.started,text_5.stopped,buttonBox_7.keys,buttonBox_7.rt,image_2.started,image_2.stopped,image_3.started,image_3.stopped,buttonBox_8.keys,buttonBox_8.rt,buttonBox_8.started,buttonBox_8.stopped,polygon.started,polygon.stopped,buttonBox_9.keys,buttonBox_9.rt,buttonBox_9.started,buttonBox_9.stopped,image.started,image.stopped,buttonBox_10.keys,buttonBox_10.corr,buttonBox_10.rt,buttonBox_10.started,buttonBox_10.stopped,text_4.started,text_4.stopped,text.started,text.stopped,buttonBox_11.keys,buttonBox_11.rt,buttonBox_11.started,buttonBox_11.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,12.308760685031302,None,2,2.3739458710188046,12.308760685031302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
,,,,,,,,,,,,,14.675189125002362,None,2,6.0779274820233695,14.675189125002362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
,,,,,,,,,,,,,,,,,,,20.756512486026622,None,2,3.964485220029019,20.756512486026622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
,,,,,,,,,,,,,,,,,,,,,,,,,24.723354433022905,None,2,1.830892795987893,24.723354433022905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.556780504004564,None,2,9.100448319048155,27.54234557703603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.640243112051394,None,2,113.686293457984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.34507351304637,None,153.34507351304637,None,2,5.166534887976013,153.34507351304637,None,,,,,,,,,,,,,,,,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,3,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.52865228999872,None,2,5.182017772982363,158.52865228999872,None,163.75954093801556,168.76065287104575,1,0,13.487418031028938,163.75954093801556,None,177.2626102080103,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_30_colour0_distractors0_r.png,r,3,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.2627284229966,None,2,1.130167385970708,179.2627284229966,None,180.44367821601918,None,3,1,1.0859666699543595,180.44367821601918,None,181.52753409504658,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_31_colour0_distractors0_l.png,l,1,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.52959887502948,None,2,1.663880548963789,183.52959887502948,None,185.2444278310286,None,1,1,1.3217133689904585,185.2444278310286,None,186.56083065504208,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_23_colour2_distractors19_l.png,l,1,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.56297886604443,None,2,0.48031924600945786,188.56297886604443,None,189.09657234704355,None,1,1,1.550222403020598,189.09657234704355,None,190.64436650002608,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,3,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.6460963060381,None,2,5.432555027015042,192.6460963060381,None,198.12978988402756,None,3,1,1.0515424190089107,198.12978988402756,None,199.1780446190387,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,3,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.17961306200596,None,2,0.6297690969659016,201.17961306200596,None,201.86162961402442,None,3,1,0.9672989000100642,201.86162961402442,None,202.82817534601782,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,3,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.82969409704674,None,2,0.48029987001791596,204.82969409704674,None,205.36176658404293,None,3,1,0.771568922966253,205.36176658404293,None,206.128225249995,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_8_colour2_distractors19_r.png,r,3,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.12987446802435,None,2,0.4160334389889613,208.12987446802435,None,208.59504769503837,None,3,1,0.9480403239722364,208.59504769503837,None,209.54489043803187,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_27_colour3_distractors9_l.png,l,1,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.5469363820157,None,2,0.447356780001428,211.5469363820157,None,212.04466945800232,None,1,1,0.5529114020173438,212.04466945800232,None,212.59486000600737,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_25_colour3_distractors1_l.png,l,1,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.59678777202498,None,2,0.5971226050169207,214.59678777202498,None,215.24509725399548,None,1,1,3.304708588984795,215.24509725399548,None,218.54416938504437,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,3,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.5471058760304,None,2,0.3489764289697632,220.5471058760304,None,220.94687355100177,None,3,1,0.6848201340180822,220.94687355100177,None,221.6285131300101,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_16_colour1_distractors4_l.png,l,1,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.63062390801497,None,2,0.46352411195402965,223.63062390801497,None,224.14553529402474,None,1,1,0.6724901200504974,224.14553529402474,None,224.8119108210085,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,3,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.81372188701062,None,2,0.38072558102430776,226.81372188701062,None,227.24504089803668,None,3,1,0.5724679880077019,227.24504089803668,None,227.81216313800542,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_17_colour1_distractors9_l.png,l,1,0,13,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.8136608110508,None,2,0.41381326597183943,229.8136608110508,None,230.27871125302045,None,1,1,0.45045596203999594,230.27871125302045,None,230.72875829803525,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,1,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.73091761604883,None,2,0.33099938998930156,232.73091761604883,None,233.11408710305113,None,3,0,0.5834792510140687,233.11408710305113,None,233.69549277599435,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,1,0,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.69771509803832,None,2,0.36553715995978564,235.69771509803832,None,236.1126757489983,None,1,1,0.5849826640333049,236.1126757489983,None,236.69567673205165,None,,,,,,,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.78037783602485,None,2,12.600450374011416,239.76426865102258,None,1001,001,2023_Jan_25_1002,searchDisc5,2021.2.3,59.881853110435834,
